"","IL6","PPFIA4","CACNA1I","CDKN2A","PLAAT1","PLXNB3","C14orf39","LINC01549","ONECUT3","PRSS3","IMPDH1P8","KIAA0895LP1","RCOR2","FAM72C","RAD51AP2","SMC1B","FTCD","PPP1R27","GINS2","WNK2","COL4A3","ESCO2","SH2D5","AQP1","MYOSLID","PDE10A","DUXAP9","NLRP10","VCAN","NUS1P2","status"
"TCGA.68.8251.01A",7.91886323727459,9.94251450533924,5.8073549220576,6.08746284125034,8.40087943628219,10.1137421660492,9.4262647547021,2.58496250072116,2,5.16992500144231,5.70043971814109,3.32192809488736,9.467605550083,3.58496250072116,3.58496250072116,5.70043971814109,4.70043971814109,5.75488750216347,10.9571020415623,13.6087168540206,10.902375114486,10.4878400338231,5.32192809488736,11.940313597146,6.6724253419715,8.10852445677817,7.4757334309664,3,15.1448971853406,6.85798099512757,"0"
"TCGA.63.A5MS.01A",6.49185309632967,8.28540221886225,6.7279204545632,10.612868497291,5.90689059560852,10.0821490413539,2.58496250072116,2,4.32192809488736,2.58496250072116,3.8073549220576,3.8073549220576,6.75488750216347,3.32192809488736,5.39231742277876,3,4.16992500144231,4,8.467605550083,9.09803208296053,8.53915881110803,6.64385618977472,8.09803208296053,12.0808175276083,4.70043971814109,6.12928301694497,4.8073549220576,1,13.0247933847025,4.16992500144231,"0"
"TCGA.21.A5DI.01A",9.09275714091985,10.5755392468345,3.8073549220576,12.4120405145517,8.36632221424582,12.1401907031918,6.16992500144231,3.8073549220576,8.44294349584873,4.90689059560852,3,3.8073549220576,9.08214904135387,6.24792751344359,5.95419631038687,6.35755200461808,6,3.8073549220576,10.292321632802,10.4797802640291,5,9.19967234483636,7.75488750216347,9.62935662007961,8.467605550083,6.8073549220576,2,3,12.5260101070617,6.88264304936184,"0"
"TCGA.52.7810.01A",9,9.13955135239879,7.7279204545632,7.7279204545632,7.96578428466209,11.393390457444,5.8073549220576,2,3.58496250072116,10.9829935746943,4.16992500144231,4.58496250072116,9.97441458980553,7.61470984411521,6.20945336562895,7.62935662007961,3,2,10.929258408637,10.652844973002,5.08746284125034,9.09275714091985,7.62935662007961,10.1674181458317,8.5077946401987,4.58496250072116,7.89481776330794,1,13.0573148777827,5.24792751344359,"0"
"TCGA.85.A50Z.01A",11.635718120331,9.11374216604919,3.58496250072116,10.8392037880969,10.3151495622563,11.7304701371842,7.02236781302845,3.58496250072116,2.58496250072116,2,4.32192809488736,5.08746284125034,7.89481776330794,4.32192809488736,5,5.39231742277876,2,5.08746284125034,10.7632123668144,10.2737955992143,7.49185309632967,10.5526690975143,9.58871463558226,12.4908508767403,8.19967234483637,7.02236781302845,7.14974711950468,2,13.5338163894334,4.32192809488736,"0"
"TCGA.63.7021.01A",10.8719052376592,9.38370429247405,8.12928301694497,5.85798099512757,9.74819284958946,11.0874628412503,3.58496250072116,2.58496250072116,9.04984854945056,10.1699250014423,2,6.52356195605701,7.59991284218713,5.58496250072116,5.24792751344359,7.3037807481771,3.8073549220576,4.90689059560852,10.4304525516655,11.8161836814323,7.88264304936184,8.6724253419715,7.10852445677817,12.3788367132106,6.39231742277876,7.74146698640115,5.16992500144231,2.58496250072116,13.8221724614762,4.4594316186373,"0"
"TCGA.63.A5MR.01A",9.82336724004623,11.427312844135,6.6724253419715,12.8494051009478,8.8073549220576,12.2615073092021,3.58496250072116,1,4.16992500144231,7.61470984411521,4.58496250072116,5.75488750216347,9.7176764230664,6.12928301694497,7.28540221886225,7.16992500144231,6,4.32192809488736,10.9886846867722,7.4093909361377,6.55458885167764,10.8595347863827,9.91587937883577,10.8470573460913,8.70043971814109,5.08746284125034,6,4.70043971814109,12.6825557410803,3.8073549220576,"0"
"TCGA.63.A5MW.01A",9.11374216604919,11.2384047393251,10.951284714967,11.5896511465148,9.45532722030456,11.2312211807112,8.29462074889163,1,6.39231742277876,3.32192809488736,7.91886323727459,6.7279204545632,10.9113919878435,6.49185309632967,4.4594316186373,7.53915881110803,7.44294349584873,5.95419631038687,10.9929383361658,11.18982455888,5.52356195605701,9.55458885167764,8.55458885167764,13.3125993788626,6.28540221886225,10.7262181593322,7.75488750216347,2,15.4633327845445,7.83289001416474,"0"
"TCGA.66.2790.01A",11.6608872703026,10.9901039638575,9.90388184573618,11.7364019313183,9.70043971814109,12.075479149488,7.04439411935845,4.58496250072116,5.85798099512757,5.4594316186373,3.32192809488736,7.04439411935845,12.5802585674998,5.85798099512757,6.08746284125034,8.38370429247405,6.4262647547021,3.32192809488736,12.4325419003883,11.4948555844912,6.90689059560852,10.5117526537674,8.33985000288462,13.3253054550897,8.18982455888002,11.6995724532873,8.62205181945638,1,14.6862816551444,6.4262647547021,"0"
"TCGA.46.3767.01A",10.4898479604393,9.34872815423108,6.28540221886225,6.55458885167764,7.88264304936184,9.59618975614441,4.58496250072116,3,5,4.8073549220576,3,4,8.82017896241519,2.58496250072116,5.32192809488736,7.16992500144231,4.58496250072116,3.58496250072116,9.77807712953536,9.97154355395077,9.67948009950545,8.92481250360578,5,14.468624042918,7.6724253419715,9.02236781302845,5.32192809488736,2.58496250072116,15.8835501795573,4.4594316186373,"0"
"TCGA.66.2763.01A",8.82654848729091,10.0361736125535,5.95419631038687,14.3642714746811,10.5736471874933,11.8257538328831,3.8073549220576,3.58496250072116,5.64385618977472,10.0633950812885,5.24792751344359,6.95419631038687,9.82336724004623,6.75488750216347,7.44294349584873,8.4093909361377,5.32192809488736,6.35755200461808,11.7515440590891,10.1972166931101,9.14465824283188,9.87958324961278,5.16992500144231,14.3590631836783,5.95419631038687,9.1548181090521,5.64385618977472,2,13.9860197730641,5.32192809488736,"0"
"TCGA.98.A53J.01A",8.4093909361377,11.6934869574993,8.95419631038687,12.3083390301394,9.70735913208088,11.6697708885255,3,4,6.85798099512757,9.4262647547021,5.52356195605701,6.28540221886225,8.74819284958946,5.52356195605701,5.52356195605701,4.70043971814109,6.61470984411521,5.24792751344359,10.3793783670713,11.8494051009478,7.65821148275179,8.98299357469431,6.75488750216347,11.0887882387169,7.78135971352466,9.467605550083,6.32192809488736,1,12.5008418795569,2.58496250072116,"0"
"TCGA.66.2771.01A",8.76155123244448,8.8703647195834,3.32192809488736,6.4594316186373,8.44294349584873,8.18982455888002,2.58496250072116,1,3.58496250072116,9.91886323727459,2.58496250072116,4.16992500144231,9.57364718749332,4.70043971814109,4.90689059560852,7.10852445677817,6.4594316186373,3.8073549220576,12.1736771363034,10.1318569606088,8.90689059560852,11.2597432636908,3,15.1402706021225,6.88264304936184,6.78135971352466,6.85798099512757,1,13.0904432750816,5.24792751344359,"0"
"TCGA.34.8454.01A",11.6697708885255,9.92481250360578,5.4594316186373,6.8073549220576,3,11.6697708885255,8.16992500144231,2.58496250072116,4.32192809488736,3.58496250072116,3.8073549220576,4.70043971814109,7.75488750216347,6.12928301694497,6.88264304936184,9.38370429247405,6.16992500144231,4,11.567005370247,12.7431513941125,8.76155123244448,9.91587937883577,5,13.8401878240405,7.53915881110803,7.59991284218713,3.8073549220576,1,14.3462366913902,4.4594316186373,"0"
